,SUD_CD,YEAR_3_BEING_CO,YEAR_3_OPBIZ_STOR_CO,RELM_AR,THSMON_SELNG_AMT,YEAR_3_BEING_RT,VIATR_FCLTY_CO,HSHLD_INCOME_TOTAMT,POPLTN_CO,RENT_CO,TOT_REPOP_CO,SALE_MT_AVG,TOT_BSN_MT,TOT_STOR_CO,SALE_MT_AVG_90,SIMILR_INDUTY_STOR_CO,OPBIZ_STOR_CO,CLSBIZ_STOR_CO
0,1123000001,0.6850393700787402,0.937007874015748,4017.03275138,467782749.31496066,37.532808398950124,2.0,160614766.0,43.0,3.236220472440945,113.8740157480315,37.21496062992126,345.4724409448819,8.511811023622048,76.04803149606299,10.023622047244094,0.14960629921259844,0.15748031496062992
1,1123000004,0.5185185185185185,0.9629629629629629,3286.03019847,927336274.074074,41.9753086419753,6.0,153826471.0,41.0,2.0,132.33333333333334,31.262962962962963,231.7037037037037,7.407407407407407,105.90370370370371,11.037037037037036,0.14814814814814814,0.07407407407407407
2,1123000005,1.0,1.5555555555555556,6411.81232975,28063551.166666668,41.6005291005291,1.0,484568625.0,161.0,2.1666666666666665,293.0,33.827777777777776,430.8333333333333,12.722222222222221,63.53333333333333,9.277777777777779,0.4444444444444444,0.3333333333333333
3,1123000006,0.75,1.0833333333333333,1289.78300619,131282458.5,66.66666666666667,1.0,14864427.0,7.0,1.5,23.0,32.15,127.5,4.0,44.38333333333333,2.3333333333333335,0.08333333333333333,0.0
4,1123000008,0.8177777777777778,1.5955555555555556,3931.99356818,285655172.63555557,33.046384479717815,7.0,424459091.0,117.0,3.1644444444444444,157.8311111111111,39.32622222222222,357.8177777777778,10.337777777777777,68.008,7.697777777777778,0.36,0.3422222222222222
5,1123000009,0.5955056179775281,0.6292134831460674,4445.76321809,39399726.741573036,33.33333333333333,2.0,72113372.0,26.0,1.550561797752809,89.65168539325843,41.3876404494382,262.5280898876405,6.48314606741573,62.30674157303371,5.269662921348314,0.06741573033707865,0.0449438202247191
6,1123000022,1.7326732673267327,2.386138613861386,5528.57732009,68929597.10891089,58.156529938708154,1.0,35135883.0,16.0,2.504950495049505,53.257425742574256,51.44059405940594,939.8712871287129,18.594059405940595,90.57029702970297,23.603960396039604,0.1782178217821782,0.26732673267326734
7,1123000029,0.5862068965517241,1.2758620689655173,7199.089302140001,362353046.6781609,25.19430760810071,5.0,16864920.0,11.0,3.1724137931034484,46.333333333333336,34.55574712643678,341.4712643678161,10.14367816091954,53.06954022988506,7.413793103448276,0.28160919540229884,0.1724137931034483
8,1123000040,1.1090909090909091,1.4727272727272727,8138.33113334,206029879.16363636,48.484848484848484,2.0,1362097169.0,409.0,2.090909090909091,634.7272727272727,36.654545454545456,381.05454545454546,10.636363636363637,47.58909090909091,7.945454545454545,0.10909090909090909,0.21818181818181817
9,1123000054,0.7911646586345381,1.2610441767068272,15357.967654,519047942.0481928,33.15261044176707,2.0,161104853.0,80.0,4.662650602409639,250.4417670682731,36.1859437751004,465.9718875502008,13.566265060240964,66.62650602409639,10.485943775100402,0.3815261044176707,0.25301204819277107
10,1123000078,0.24390243902439024,0.3902439024390244,3277.5251915300005,24250252.463414636,20.73170731707317,6.0,14261052.0,10.0,2.024390243902439,50.73170731707317,32.7390243902439,196.85365853658536,7.365853658536586,47.146341463414636,3.7560975609756095,0.36585365853658536,0.2926829268292683
11,1123000087,0.23333333333333334,0.6333333333333333,6170.24214404,32188078.333333332,20.0,3.0,11628050.0,3.0,1.9333333333333333,8.6,32.56666666666667,405.23333333333335,12.133333333333333,83.23666666666666,11.0,0.3,0.4666666666666667
12,1123000095,1.135135135135135,1.7027027027027026,6888.55564025,376974342.3243243,46.795366795366796,1.0,245305813.0,96.0,2.108108108108108,244.67567567567568,33.994594594594595,353.64864864864865,9.756756756756756,51.95675675675676,6.216216216216216,0.2972972972972973,0.32432432432432434
13,1123000114,0.0,0.14285714285714285,6074.90438176,33638457.85714286,0.0,1.0,84905355.0,29.0,1.0,119.0,38.785714285714285,147.04761904761904,3.5714285714285716,68.62380952380951,3.5238095238095237,0.047619047619047616,0.0
14,1123000120,0.3333333333333333,1.0769230769230769,1448.95300741,25913317.230769232,19.23076923076923,1.0,3155913.0,2.0,1.5384615384615385,33.30769230769231,19.389743589743592,126.84615384615384,6.17948717948718,28.53333333333333,2.0,0.0,0.0
15,1123000134,0.9032258064516129,1.1612903225806452,3499.19733522,109331940.48387097,48.817204301075265,2.0,39595631.0,19.0,1.8387096774193548,64.2258064516129,34.49032258064516,400.5806451612903,11.064516129032258,63.5516129032258,7.225806451612903,0.1935483870967742,0.22580645161290322
16,1123000142,0.8932384341637011,1.9679715302491103,5931.98452651,198747810.7935943,31.12903308632846,3.0,54078235.0,28.0,3.106761565836299,112.19928825622776,31.439501779359432,444.7651245551601,13.640569395017794,41.761565836298935,7.362989323843417,0.28113879003558717,0.27402135231316727
17,1123000156,0.3103448275862069,0.3103448275862069,1074.72571878,154453719.06896552,31.03448275862069,1.0,12363406.0,5.0,1.2758620689655173,22.896551724137932,40.293103448275865,110.44827586206897,2.8275862068965516,62.87586206896552,3.103448275862069,0.06896551724137931,0.0
18,1123000160,0.3870967741935484,0.5161290322580645,4134.06663485,56853440.89247312,29.56989247311828,1.0,131101573.0,51.0,1.6236559139784945,136.1505376344086,49.58387096774194,225.89247311827958,4.623655913978495,76.46451612903226,4.387096774193548,0.08602150537634409,0.06451612903225806
